timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576355547913,165,Add Task,200,OK,Thread Group 1-86,text,true,,224,211,500,500,http://www.localhost:4200/task,165,0,0
1576355547915,164,Add Task,200,OK,Thread Group 1-399,text,true,,224,211,500,500,http://www.localhost:4200/task,164,0,0
1576355547919,161,Add Task,200,OK,Thread Group 1-128,text,true,,224,211,500,500,http://www.localhost:4200/task,161,0,0
1576355547920,161,Add Task,200,OK,Thread Group 1-151,text,true,,224,211,500,500,http://www.localhost:4200/task,161,0,0
1576355547922,160,Add Task,200,OK,Thread Group 1-180,text,true,,224,211,500,500,http://www.localhost:4200/task,160,0,0
1576355547923,159,Add Task,200,OK,Thread Group 1-90,text,true,,224,211,500,500,http://www.localhost:4200/task,159,0,0
1576355547933,150,Add Task,200,OK,Thread Group 1-366,text,true,,224,211,500,500,http://www.localhost:4200/task,150,0,0
1576355547935,149,Add Task,200,OK,Thread Group 1-397,text,true,,224,211,500,500,http://www.localhost:4200/task,149,0,0
1576355547947,137,Add Task,200,OK,Thread Group 1-434,text,true,,224,211,500,500,http://www.localhost:4200/task,137,0,0
1576355547949,137,Add Task,200,OK,Thread Group 1-394,text,true,,224,211,500,500,http://www.localhost:4200/task,137,0,0
1576355547950,137,Add Task,200,OK,Thread Group 1-129,text,true,,224,211,500,500,http://www.localhost:4200/task,137,0,0
1576355547952,136,Add Task,200,OK,Thread Group 1-347,text,true,,224,211,500,500,http://www.localhost:4200/task,136,0,0
1576355547953,136,Add Task,200,OK,Thread Group 1-387,text,true,,224,211,500,500,http://www.localhost:4200/task,136,0,0
1576355547955,135,Add Task,200,OK,Thread Group 1-198,text,true,,224,211,500,500,http://www.localhost:4200/task,135,0,0
1576355547956,134,Add Task,200,OK,Thread Group 1-134,text,true,,224,211,500,500,http://www.localhost:4200/task,134,0,0
1576355547958,133,Add Task,200,OK,Thread Group 1-155,text,true,,224,211,500,500,http://www.localhost:4200/task,133,0,0
1576355547960,133,Add Task,200,OK,Thread Group 1-391,text,true,,224,211,500,500,http://www.localhost:4200/task,133,0,0
1576355547963,130,Add Task,200,OK,Thread Group 1-378,text,true,,224,211,500,500,http://www.localhost:4200/task,130,0,0
1576355547966,128,Add Task,200,OK,Thread Group 1-284,text,true,,224,211,500,500,http://www.localhost:4200/task,128,0,0
1576355547969,125,Add Task,200,OK,Thread Group 1-62,text,true,,224,211,500,500,http://www.localhost:4200/task,125,0,0
1576355547971,124,Add Task,200,OK,Thread Group 1-379,text,true,,224,211,500,500,http://www.localhost:4200/task,124,0,0
1576355547973,122,Add Task,200,OK,Thread Group 1-407,text,true,,224,211,500,500,http://www.localhost:4200/task,122,0,0
1576355547980,116,Add Task,200,OK,Thread Group 1-218,text,true,,224,211,500,500,http://www.localhost:4200/task,116,0,0
1576355548007,89,Add Task,200,OK,Thread Group 1-336,text,true,,224,211,500,500,http://www.localhost:4200/task,89,0,0
1576355548012,85,Add Task,200,OK,Thread Group 1-361,text,true,,224,211,500,500,http://www.localhost:4200/task,85,0,0
1576355548014,83,Add Task,200,OK,Thread Group 1-20,text,true,,224,211,500,500,http://www.localhost:4200/task,83,0,0
1576355548024,74,Add Task,200,OK,Thread Group 1-285,text,true,,224,211,500,500,http://www.localhost:4200/task,74,0,0
1576355548027,72,Add Task,200,OK,Thread Group 1-64,text,true,,224,211,500,500,http://www.localhost:4200/task,71,0,0
1576355548032,67,Add Task,200,OK,Thread Group 1-207,text,true,,224,211,500,500,http://www.localhost:4200/task,67,0,0
1576355548037,63,Add Task,200,OK,Thread Group 1-108,text,true,,224,211,500,500,http://www.localhost:4200/task,63,0,0
1576355548040,61,Add Task,200,OK,Thread Group 1-101,text,true,,224,211,500,500,http://www.localhost:4200/task,61,0,0
1576355548047,56,Add Task,200,OK,Thread Group 1-132,text,true,,224,211,500,500,http://www.localhost:4200/task,56,0,0
1576355548050,54,Add Task,200,OK,Thread Group 1-50,text,true,,224,211,500,500,http://www.localhost:4200/task,54,0,0
1576355548052,54,Add Task,200,OK,Thread Group 1-370,text,true,,224,211,500,500,http://www.localhost:4200/task,54,0,0
1576355547859,247,Add Project,200,OK,Thread Group 1-396,text,true,,224,214,500,500,http://www.localhost:4200/project,247,0,0
1576355547859,248,Add Project,200,OK,Thread Group 1-122,text,true,,224,214,500,500,http://www.localhost:4200/project,248,0,0
1576355547860,249,Add Project,200,OK,Thread Group 1-26,text,true,,224,214,500,500,http://www.localhost:4200/project,249,0,0
1576355547860,250,Add Project,200,OK,Thread Group 1-360,text,true,,224,214,500,500,http://www.localhost:4200/project,250,0,0
